"video_id"	"last_trending_date"	"publish_date"	"category_id"	"channel_title"	"views"	"likes"	"dislikes"	"comment_count"	"title"	"trend_day_count"	"tags_count"	"subscriber"	"category_desc"
"2kyS6SvSYSE"	"2017-11-20"	"2017-11-13"	22	"CaseyNeistat"	2564903	96321	7972	22149	"WE WANT TO TALK ABOUT OUR MARRIAGE"	7	1	9086142	"People & Blogs"
"1ZAPwfrtAFY"	"2017-11-20"	"2017-11-13"	24	"LastWeekTonight"	6109402	151250	11508	19820	"The Trump Presidency: Last Week Tonight with John Oliver (HBO)"	7	4	5937292	"Entertainment"
"puqaWrEC7tY"	"2017-11-20"	"2017-11-13"	24	"Good Mythical Morning"	913268	16729	1386	2988	"Nickelback Lyrics: Real or Fake?"	7	28	13186408	"Entertainment"
"d380meD0W0M"	"2017-11-19"	"2017-11-12"	24	"nigahiga"	2819118	153395	2416	20573	"I Dare You: GOING BALD!?"	6	14	20563106	"Entertainment"
"39idVpFF7NQ"	"2017-11-18"	"2017-11-12"	24	"Saturday Night Live"	2688797	19042	3059	2689	"Roy Moore & Jeff Sessions Cold Open - SNL"	5	42	5292034	"Entertainment"
"nc99ccSXST0"	"2017-11-19"	"2017-11-12"	28	"CrazyRussianHacker"	1251577	28951	1146	2606	"5 Ice Cream Gadgets put to the Test"	6	13	10474796	"Science & Technology"
"jr9QtXwC9vc"	"2017-11-15"	"2017-11-13"	1	"20th Century Fox"	2671756	12699	505	1010	"The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX"	2	28	2453494	"Film and Animation"
"TUmyygCMMGA"	"2017-11-15"	"2017-11-13"	25	"Vox"	635985	20721	2417	4111	"Why the rise of the robots won’t mean the end of work"	2	20	3808198	"News & Politics"
"9wRQljFNDW8"	"2017-11-14"	"2017-11-13"	17	"NFL"	81377	655	25	177	"Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights"	1	49	3212413	"Sports"
"VifQlJit6A0"	"2017-11-19"	"2017-11-13"	24	"amc"	230403	2413	581	2002	"(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead"	6	40	657573	"Entertainment"
"GgVmn66oK_A"	"2017-11-18"	"2017-11-12"	25	"NowThis World"	789594	10203	1561	3551	"Which Countries Are About To Collapse?"	5	25	1740822	"News & Politics"
"kgaO45SyaO4"	"2017-11-16"	"2017-11-13"	28	"BostonDynamics"	5531707	72727	3362	14816	"The New SpotMini"	3	5	824219	"Science & Technology"
"ZAQs-ctOqXQ"	"2017-11-18"	"2017-11-12"	23	"Cracked"	371683	9600	750	1282	"One Change That Would Make Pacific Rim a Classic"	5	32	2158902	"Comedy"
"eNSN6qet1kE"	"2017-11-19"	"2017-11-13"	28	"PeterSripol"	429830	22885	141	3403	"HomeMade Electric Airplane"	6	18	483293	"Science & Technology"
"6VhU_T463sU"	"2017-11-18"	"2017-11-12"	28	"Tested"	343273	4503	182	266	"The Making of Hela's Headdress from Thor: Ragnarok"	5	18	3188804	"Science & Technology"
"JBZTZZAcFTw"	"2017-11-16"	"2017-11-12"	26	"Refinery29"	237111	2323	786	636	"What $4,800 Will Get You In NYC | Sweet Digs Home Tour | Refinery29"	3	35	890739	"Howto & Style"
"fcVjitaM3LY"	"2017-11-18"	"2017-11-13"	28	"Numberphile"	188957	7394	75	680	"78557 and Proth Primes - Numberphile"	5	3	2404027	"Science & Technology"
"qeWvgZLz9yU"	"2017-11-18"	"2017-11-13"	26	"JerryRigEverything"	265799	14179	384	1727	"A Smart... MUG?! - Take apart a Heated Thermos!"	5	18	1689905	"Howto & Style"
"iIxy3JN3-jc"	"2017-11-19"	"2017-11-13"	25	"Cleveland Cavaliers on cleveland.com"	87403	285	128	175	"LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu..."	6	1	23612	"News & Politics"
"n30k5CwLhS4"	"2017-11-17"	"2011-05-29"	1	"FaeryInLoveInc"	58689	831	253	306	"Nick Andopolis: Drummer"	4	8	44	"Film and Animation"
"CBVGjS_EJok"	"2017-11-18"	"2017-11-06"	24	"Amazon.co.uk"	108297	232	184	0	"Amazon Christmas Advert 2017 - Toys & Games"	5	27	51151	"Entertainment"
"n1WpP7iowLc"	"2017-11-18"	"2017-11-10"	10	"EminemVEVO"	26448434	911883	53873	127481	"Eminem - Walk On Water (Audio) ft. Beyoncé"	5	6	26383080	"Music"
"hz7ukDjuq4w"	"2017-11-18"	"2017-11-12"	24	"officer401"	147851	5319	171	739	"What's Inside a Detectives Car?"	5	40	410738	"Entertainment"
"0mlNzVSJrT0"	"2017-11-17"	"2017-04-21"	22	"Nobrand"	122634	2908	210	595	"Me-O Cats Commercial"	4	4	125	"People & Blogs"
"e_7zHm7GsYc"	"2017-11-19"	"2017-11-13"	10	"Hunter Hayes"	112866	3643	112	137	"Hunter Hayes - You Should Be Loved (Part One Of Pictures)"	6	13	658161	"Music"
"zZ9FciUx6gs"	"2017-11-20"	"2017-11-13"	10	"Nickelback"	459969	16399	822	1226	"Nickelback - The Betrayal Act III [Official Video]"	7	14	1935019	"Music"
"PaJCFHXcWmM"	"2017-11-20"	"2017-11-13"	10	"U2VEVO"	441712	12162	482	6058	"U2 - The Blackout"	7	6	1060292	"Music"
"goP4Z5wyOlM"	"2017-11-14"	"2017-11-12"	25	"BBC News"	34785	308	26	413	"Iraq-Iran earthquake: Deadly tremor hits border region - BBC News"	1	10	2119249	"News & Politics"
"NZFhMSgbKKM"	"2017-11-18"	"2017-11-13"	17	"Ben Rohrbach"	22302	83	75	63	"Dennis Smith Jr. and LeBron James go back and forth"	5	0	517	"Sports"
"BWPrk9PUwQE"	"2017-11-17"	"2017-11-12"	26	"dope2111"	1856410	38114	2049	2768	"iPhone X vs Makeup Transformation (Face ID TEST)"	4	17	5019780	"Howto & Style"
"sbcbvuitiTc"	"2017-11-15"	"2017-11-10"	17	"NBA Highlights · YouTube"	1015189	2133	2483	1465	"Stephon Marbury and Jimmer Fredette fight in China"	2	3	2720	"Sports"
"zNqCVTs38nU"	"2017-11-18"	"2017-11-13"	17	"D3sports.com"	47760	132	77	41	"Heidelberg's nifty hook-and-lateral to the left tackle"	5	8	1387	"Sports"
"c-3JxzN2u34"	"2017-11-17"	"2017-11-12"	25	"CBS Sunday Morning"	10541	261	7	19	"Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico"	4	8	169723	"News & Politics"
"9t9u_yPEidY"	"2017-11-17"	"2017-11-10"	10	"JenniferLopezVEVO"	17679753	248909	21039	13058	"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin"	4	17	7257810	"Music"
"KODzih-pYlU"	"2017-11-17"	"2017-11-11"	22	"Grace Helbig"	218186	7773	230	443	"BLIND(folded) CAKE DECORATING CONTEST (with Molly Burke) // Grace Helbig"	4	12	3008137	"People & Blogs"
"8NHA23f7LvU"	"2017-11-14"	"2017-11-10"	24	"The Graham Norton Show"	1496225	16116	236	605	"Jason Momoa Wows Hugh Grant With Some Dothraki | The Graham Norton Show"	1	14	1676098	"Entertainment"
"w0XYVssCKjw"	"2017-11-17"	"2017-11-11"	17	"Kevin Durant"	194930	6466	139	536	"JaVale McGee's Parking Lot Chronicles: Episode 3"	4	20	620050	"Sports"
"9XSULcLI6Hg"	"2017-11-16"	"2017-11-12"	25	"JimBrowski 96HourNews"	36859	23	10	135	"Kellyanne Conway on Roy Moore This Week Abc: Trump’s Not Being Briefed On This Bit By Bit 11/12/17"	3	9	1544	"News & Politics"
"9xSx-5tmq44"	"2017-11-17"	"2017-11-11"	24	"Jeremy Jahns"	312769	8665	360	966	"Daddy's Home 2 - Movie Review"	3	10	1400125	"Entertainment"
"4v0nOAzcG2A"	"2017-11-16"	"2017-11-11"	28	"Jonathan Morrison"	300601	10497	382	991	"The Super Google Pixel 2 Camera Upgrade!"	3	26	2397437	"Science & Technology"
"1cgK-BIrXes"	"2017-11-16"	"2017-11-10"	24	"YouTube Spotlight"	849499	27121	2042	5181	"#VeteransDay: Thank You for Everything"	3	6	27221198	"Entertainment"
"ujyTQNNjjDU"	"2017-11-17"	"2017-11-10"	10	"GEazyMusicVEVO"	5159763	146732	4515	7048	"G-Eazy - The Plan (Official Video)"	4	4	4756225	"Music"
"PABlVzeldaM"	"2017-11-17"	"2017-11-12"	25	"U.S. Navy"	256760	782	98	793	"U.S. Navy Three Carrier Formation in Western Pacific Ocean"	4	10	85555	"News & Politics"
"6340tX9M_eM"	"2017-11-17"	"2017-11-10"	24	"IGN"	629166	8985	463	1030	"Batman: Gotham by Gaslight - Exclusive Trailer (2018)"	4	10	9401388	"Entertainment"
"8mhTWqWlQzU"	"2017-11-16"	"2017-11-11"	22	"Safiya Nygaard"	3031863	121285	1186	6852	"Wearing Online Dollar Store Makeup For A Week"	3	25	4169227	"People & Blogs"
"MNiweoKXwfg"	"2017-11-16"	"2017-11-13"	24	"INSIDER"	20529	318	11	41	"Watch Norman Reedus Come Face to Face with his ‘Walking Dead’ Double"	3	8	1461545	"Entertainment"
"Jw1Y-zhQURU"	"2017-11-17"	"2017-11-10"	26	"John Lewis"	8041928	60434	11437	7545	"John Lewis Christmas Ad 2017 - #MozTheMonster"	4	9	135706	"Howto & Style"
"cccyOn99s4Y"	"2017-11-16"	"2017-11-10"	24	"MeganBatoon"	82713	3124	151	250	"Reacting to Running a Half Marathon | MEGANBYTES EP. 101"	3	28	874240	"Entertainment"
"abGCYPCk294"	"2017-11-16"	"2017-11-11"	24	"John Campea"	45236	1581	110	911	"Justice League Reactions, Should Disney Buy Netflix - The John Campea Show"	3	12	116972	"Entertainment"
"IE-xepGLVt8"	"2017-11-14"	"2017-11-10"	28	"Mayo Clinic"	237307	1896	74	260	"Mayo Clinic's first face transplant patient meets donor’s family"	1	8	73242	"Science & Technology"
"ObIQ0s02UHg"	"2017-11-17"	"2017-11-10"	10	"Jason Derulo"	2954882	52519	2453	1948	"Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video)"	4	7	9076056	"Music"
"cOc3tsFWoRs"	"2017-11-14"	"2017-11-10"	24	"The Late Late Show with James Corden"	1497519	15504	353	1084	"Jason Momoa & Lisa Bonet: Love at First Sight"	1	26	13608050	"Entertainment"
"AJYb0Yom5UQ"	"2017-11-16"	"2017-10-17"	23	"cocheusadoooo"	172587	379	49	199	"Howard Stern: George Takei Talks About Harvey Weinstein and Sexually Assault"	3	13	1409	"Comedy"
"gLswXiRLdkA"	"2017-11-16"	"2017-11-11"	26	"Amber Scholl"	525210	24412	1259	1847	"A VERY #EXTRA EBAY SHOPPING HAUL!"	3	12	1449988	"Howto & Style"
"MyEqfBkzESU"	"2017-11-16"	"2017-11-10"	26	"John Maclean"	390261	9474	3091	3207	"EXTREME GOLDEN TAN TRANSFORMATION"	3	13	183889	"Howto & Style"
"L_5_slz4ke4"	"2017-11-17"	"2017-11-12"	25	"ABC News"	11156	86	22	74	"Some NFL players call for an end to Thursday night football after 8 players were injured last week"	4	11	3346641	"News & Politics"
"OKoL852K9uA"	"2017-11-16"	"2017-11-11"	26	"mayratouchofglam"	122772	3912	298	403	"ICE PRIMER? DOES IT WORK?!"	3	5	1890090	"Howto & Style"
"pa_oUisZZy0"	"2017-11-16"	"2017-11-11"	22	"BuzzFeed Celeb"	243412	7782	104	340	"Mark Ruffalo Reads Hilarious Thirst Tweets"	3	22	1360210	"People & Blogs"
"fNtLIcyjsnI"	"2017-11-16"	"2017-11-09"	1	"Zero Media"	2122489	20085	1104	1321	"Game Night Official Trailer #1 (2018) Rachel McAdams, Jason Bateman Comedy Movie HD"	3	13	973496	"Film and Animation"
"_Iz83-Cmt6A"	"2017-11-16"	"2017-11-09"	10	"CMAVEVO"	58135	519	69	65	"Little Big Town with Jimmy Webb - Wichita Lineman (Live from the CMA Awards)"	3	17	66329	"Music"
"YlvCVbfS9M0"	"2017-11-16"	"2017-11-11"	10	"Alan Walker"	935744	37129	622	2673	"Alan Walker - All Falls Down (Behind The Scenes)"	3	38	12672164	"Music"
